split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,V5,0.35,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6784396415392725,0.9711985913721545,0.7988413593337816,0.9493702560680624,0.05062974393193764,22764,1214,0.09361069836552749,0.6227347611202636,15444,756,7320,458
test,vip_level,V5,0.4,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.7025228589209632,0.9228398943529116,0.7977494495936506,0.8711735757777963,0.1288264242222037,20889,3089,0.2305596830113918,0.6027840725153771,14675,1862,6214,1227
test,vip_level,V5,0.45,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.7265886287625418,0.8743554269903157,0.7936526057423369,0.7980648928184169,0.20193510718158314,19136,4842,0.3521545319465082,0.587360594795539,13904,2844,5232,1998
test,vip_level,V5,0.5,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.7509571876087713,0.8140485473525343,0.7812311406155703,0.7189089999165902,0.2810910000834098,17238,6740,0.4684249628528975,0.5612759643916914,12945,3783,4293,2957
test,vip_level,V5,0.55,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.7732445364024312,0.7520437680794868,0.7624968120377454,0.6450079239302694,0.3549920760697306,15466,8512,0.5657503714710252,0.5367716165413534,11959,4569,3507,3943
test,vip_level,V5,0.6,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.7957168784029038,0.6892843667463212,0.7386865249182869,0.5744849445324881,0.4255150554675119,13775,10203,0.6515601783060921,0.5157306674507498,10961,5262,2814,4941
test,vip_level,V5,0.65,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.8175670034232279,0.6157716010564709,0.7024642203809319,0.4994995412461423,0.5005004587538577,11977,12001,0.7294452699356117,0.4908757603533039,9792,5891,2185,6110
test,vip_level,V5,0.7,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.8381944444444445,0.5313168154949063,0.6503733353860365,0.42038535324047044,0.5796146467595296,10080,13898,0.7980435859336306,0.46373578932220466,8449,6445,1631,7453
test,vip_level,V5,0.75,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.8656569388006403,0.4420827568859263,0.5852724472380635,0.33868546167320046,0.6613145383267995,8121,15857,0.8649083704804359,0.44049946395913475,7030,6985,1091,8872
test,vip_level,V5,0.8,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.8890532544378699,0.3401458935982895,0.49204038933867006,0.25373258820585537,0.7462674117941446,6084,17894,0.9164190193164933,0.41360232480160947,5409,7401,675,10493
test,vip_level,V5,0.85,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.9133143005450298,0.22129291912966922,0.3562642369020501,0.16068896488447743,0.8393110351155226,3853,20125,0.9586428925210501,0.38469565217391305,3519,7742,334,12383
